id,position,name,nombre_cadena,score,ratings,category,price_range,full_address,zip_code,lat,lng,estado,category_list,url_logo
14,51,Panera (521 Fieldstown Road),Panera,4.6,44,"Breakfast and Brunch, salad, Sandwich, Family Meals, Pizza, Healthy, American, Chicken",$,"521 Fieldstown Road, Gardendale, AL, 35071",35071,33.6514066,-86.8192467,AL,"'Breakfast and Brunch', 'salad', 'Sandwich', 'Family Meals', 'Pizza', 'Healthy', 'American', 'Chicken'",
20,40,MrBeast Burger (838 Odum Road),MrBeast Burger,3.7,19,"American, Burgers, Sandwich",$$,"838 Odum Road, Gardendale, AL, 35071",35071,33.64548,-86.82626,AL,"'American', 'Burgers', 'Sandwich'",
35,80,Starbucks (Hwy 11 and Avenue W),Starbucks,4.6,21,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea",$,"2401 Crossplex Boulevard 101, Birmingham, AL, 35208",35208,33.4979443,-86.8743905,AL,"'Bakery', 'Breakfast and Brunch', 'Cafe', 'Coffee &amp; Tea'",https://1000marcas.net/wp-content/uploads/2019/12/Starbucks-Logo-tm.jpg
41,15,McAlister's Deli  (1801 4th Avenue South),McAlister’s Deli,4.7,100,"Sandwich, Salads, Healthy, Family Meals",$,"1801 4th Ave S, Birmingham, AL, 35233",35233,33.50715,-86.80399,AL,"'Sandwich', 'Salads', 'Healthy', 'Family Meals'",
42,13,"Firehouse Subs (3477  Lowery Parkway, Suite 115)",Firehouse Subs,4.7,23,"Sandwich, Deli",$,"3477  Lowery Parkway, Suite 115, Fultondale, AL, 35068",35068,33.6052125,-86.8056205,AL,"'Sandwich', 'Deli'",
43,9,Taco Bell (2300 Bessemer Rd.),Taco Bell,4.1,91,"Burritos, Fast Food, Mexican",$,"2300 Bessemer Rd., Birmingham, AL, 35208",35208,33.4979239,-86.8757924,AL,"'Burritos', 'Fast Food', 'Mexican'",https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Taco_Bell_2016.svg/1280px-Taco_Bell_2016.svg.png
127,104,Chick-fil-A (385 Fieldstown Rd),Chick-fil-A,4.7,68,"American, Fried Chicken, Southern, Sandwich, Fast Food",$,"385 Fieldstown Rd, Gardendale, AL, 35071",35071,33.65146,-86.81553,AL,"'American', 'Fried Chicken', 'Southern', 'Sandwich', 'Fast Food'",https://1000marcas.net/wp-content/uploads/2021/05/Chick-fil-A-logo-1.png
139,86,Dunkin (300 Commons Dr),Dunkin’,4.7,18,"Breakfast &amp; Brunch, Donuts",$,"300 Commons Dr, Birmingham, AL, 35209",35209,33.44203,-86.83068,AL,"'Breakfast &amp; Brunch', 'Donuts'",https://1000marcas.net/wp-content/uploads/2020/02/Dunkin-Donuts-Logo-tumb.jpg
166,57,Panera (1400 University Blvd),Panera,4.7,55,"Breakfast and Brunch, salad, Sandwich, Pizza, Healthy, American, Chicken",$,"1400 University Blvd, Birmingham, AL, 35233",35233,33.5016263,-86.8071057,AL,"'Breakfast and Brunch', 'salad', 'Sandwich', 'Pizza', 'Healthy', 'American', 'Chicken'",
171,51,Denny's (224 Daniel Payne Drive N),Denny's,3.5,68,"American, Breakfast and Brunch, Coffee and Tea, Dinner, Desserts, Salads, Steak, Sandwich, Family Meals",$$,"224 Daniel Payne Drive N, Birmingham, AL, 35207",35207,33.562544,-86.830681,AL,"'American', 'Breakfast and Brunch', 'Coffee and Tea', 'Dinner', 'Desserts', 'Salads', 'Steak', 'Sandwich', 'Family Meals'",
180,40,Firehouse Subs (Homewood),Firehouse Subs,4.7,73,"American, Sandwich",$,"808 Green Springs Hwy, Homewood, AL, 35209",35209,33.46055,-86.81937,AL,"'American', 'Sandwich'",
187,32,Wendy's  (213 State Farm Pkwy),Wendy’s,4.1,25,"American, Burgers, Fast Food",$,"213 State Farm Pkwy, Homewood, AL, 35209",35209,33.447396,-86.825589,AL,"'American', 'Burgers', 'Fast Food'",https://1000marcas.net/wp-content/uploads/2020/10/Wendys-logo-tumb.jpg
195,21,Dairy Queen Grill &amp; Chill (1349 Hueytown Rd),Dairy Queen Grill &amp; Chill,4.4,15,"Ice Cream + Frozen Yogurt, Burgers, Chicken, American",$,"1349, Hueytown, AL, 35023",35023,33.446515,-86.9969224,AL,"'Ice Cream + Frozen Yogurt', 'Burgers', 'Chicken', 'American'",
198,18,KFC (1800 20th Street Ensley),KFC,4.0,11,"American, Fast Food, wings",$,"1800 20th Street Ensley, Birmingham, AL, 35218",35218,33.5095866,-86.8857138,AL,"'American', 'Fast Food', 'wings'",https://1000marcas.net/wp-content/uploads/2020/01/KFC-logo-tumb.jpg
200,16,MrBeast Burger (2751 Allison-Bonnett Memorial Drive),MrBeast Burger,4.2,33,"American, Desserts",$$,"2751 Allison-Bonnett Memorial Drive, Hueytown, AL, 35023",35023,33.45479,-86.96679,AL,"'American', 'Desserts'",
203,11,Zaxby's (2880 Allison-Bonnett Memorial Dr),Zaxby’s,4.4,26,"American, Wings, Salads, Healthy, Family Meals",$,"2880 Allison-Bonnett Memorial Dr., Bessemer, AL, 35023",35023,33.4539272,-86.9693379,AL,"'American', 'Wings', 'Salads', 'Healthy', 'Family Meals'",
206,8,Burger King (1484 Forestdale Blvd),Burger King,3.2,16,"American, burger, Fast Food, Family Meals",$,"1484 Forestdale Blvd, Birmingham, AL, 35214",35214,33.565045,-86.8963771,AL,"'American', 'burger', 'Fast Food', 'Family Meals'",https://1000marcas.net/wp-content/uploads/2019/12/Burger-King-Logo-tumb.jpg
208,2,McDonald's® (1309 FORESTDALE BLVD),McDonald’s,4.0,29,"American, Burgers, Fast Food, Fast Food",$,"1309 FORESTDALE BLVD, BIRMINGHAM, AL, 35214",35214,33.5617425,-86.8925979,AL,"'American', 'Burgers', 'Fast Food', 'Fast Food'",https://1000marcas.net/wp-content/uploads/2019/11/McDonalds-logo-tumb.jpg
215,11,Starbucks (20th Street and 3rd Ave.),Starbucks,4.8,100,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea, Group Friendly",$,"308 20th St South, Birmingham, AL, 35233",35233,33.509565,-86.8028408,AL,"'Bakery', 'Breakfast and Brunch', 'Cafe', 'Coffee &amp; Tea', 'Group Friendly'",https://1000marcas.net/wp-content/uploads/2019/12/Starbucks-Logo-tm.jpg
222,3,Arby's (996 Forestdale Blvd),Arby’s,4.1,28,"American, Sandwich, Fast Food, Kids Friendly",$,"996, Forestdale, AL, 35214",35214,33.553465,-86.8861985,AL,"'American', 'Sandwich', 'Fast Food', 'Kids Friendly'",
230,8,Starbucks (Magnolia City Place),Starbucks,4.7,57,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea",$,"659 Fieldstown Rd, Gardendale, AL, 35071",35071,33.6504255,-86.8238714,AL,"'Bakery', 'Breakfast and Brunch', 'Cafe', 'Coffee &amp; Tea'",https://1000marcas.net/wp-content/uploads/2019/12/Starbucks-Logo-tm.jpg
233,3,"Tropical Smoothie Cafe (225 State Farm Parkway, Suite 101)",Tropical Smoothie Cafe,4.7,29,"American, Juice and Smoothies, Sandwich",$,"225 State Farm Parkway, Homewood, AL, 35209",35209,33.44669,-86.82647,AL,"'American', 'Juice and Smoothies', 'Sandwich'",https://upload.wikimedia.org/wikipedia/commons/d/d4/Tropical_Smoothie_Cafe_logo.svg
243,12,"Church's Chicken  (1145 Third Avenue, West)",Church’s Chicken,3.9,25,"Comfort Food, American, Wings",$,"1145 Third Avenue, West, Birmingham, AL, 35204",35204,33.504979,-86.856609,AL,"'Comfort Food', 'American', 'Wings'",
249,6,Applebee's (5 Points West),Applebee's,4.0,100,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Meals",$$,"2246 Bessemer Road, Birmingham, AL, 35208",35208,33.4977003,-86.8771774,AL,"'American', 'Bar Food', 'BBQ', 'burger', 'Chicken Strips', 'Comfort Food', 'Dinner', 'pasta', 'salad', 'Sandwich', 'Soup', 'Steak', 'Traditional American', 'wings', 'Family Meals'",
250,5,Pizza Hut (2145 Bessemer Rd),Pizza Hut,4.4,50,"Fast Food, Italian, pizza, wings",$,"2145 Bessemer Rd, Birmingham, AL, 35210",35210,33.49433,-86.87952,AL,"'Fast Food', 'Italian', 'pizza', 'wings'",https://upload.wikimedia.org/wikipedia/commons/5/5d/Pizza_Hut_classic_logo.svg
252,3,Papa Johns (2480 Palomino Lane),Papa John’s,3.8,14,"Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food",$,"2480 Palomino Lane, Forestdale, AL, 35214",35214,33.58211,-86.9203,AL,"'Pizza', 'Wings', 'Sandwiches', 'Desserts', 'American', 'Traditional American', 'Fast Food'",
253,2,Taco Bell (1101 Forestdale Blvd),Taco Bell,4.0,26,"Burritos, Fast Food, Mexican",$,"1101 Forestdale Blvd, Birmingham, AL, 35214",35214,33.557972,-86.8897092,AL,"'Burritos', 'Fast Food', 'Mexican'",https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Taco_Bell_2016.svg/1280px-Taco_Bell_2016.svg.png
268,7,Church's Chicken  (4009 Vanderbilt Road),Church’s Chicken,4.3,16,"Comfort Food, American, Wings, Family Meals",$,"4009 Vanderbilt Road, Birmingham, AL, 35217",35217,33.5625333,-86.7829696,AL,"'Comfort Food', 'American', 'Wings', 'Family Meals'",
276,2,Applebee's (Fultondale),Applebee's,4.4,36,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Meals",$$,"1250 Boots Blvd., Fultondale, AL, 35068",35068,33.6104011,-86.80215,AL,"'American', 'Bar Food', 'BBQ', 'burger', 'Chicken Strips', 'Comfort Food', 'Dinner', 'pasta', 'salad', 'Sandwich', 'Soup', 'Steak', 'Traditional American', 'wings', 'Family Meals'",
278,23,Smoothie King (1926 28Th Ave. South),Smoothie King,4.9,21,"Juice and Smoothies, Healthy, Desserts",$$,"1926 28Th Ave. South, Birmingham, AL, 35209",35209,33.48152,-86.78777,AL,"'Juice and Smoothies', 'Healthy', 'Desserts'",
279,18,Papa Johns (1429 11Th Avenue South),Papa John’s,4.5,100,"Desserts, PIzza, Wings, Sandwiches",$,"1429 11Th Avenue South, Birmingham, AL, 35205",35205,33.496737,-86.803975,AL,"'Desserts', 'PIzza', 'Wings', 'Sandwiches'",
299,9,Zaxby's (1510 Rainbow Drive),Zaxby’s,4.2,15,"American, Sandwiches, Wings, Family Meals",$,"1510 Rainbow Drive, Gadsden, AL, 35901",35901,33.9836011,-86.00498,AL,"'American', 'Sandwiches', 'Wings', 'Family Meals'",
302,6,Popeyes (406 E Meighan Blvd),Popeyes,4.6,10,"American, Chicken, Family Meals, Fried Chicken, Comfort Food",$,"406 E Meighan Blvd, Gadsden, AL, 35903",35903,34.009761,-85.987795,AL,"'American', 'Chicken', 'Family Meals', 'Fried Chicken', 'Comfort Food'",https://1000marcas.net/wp-content/uploads/2021/05/Popeyes-logo-tm.png
304,4,Applebee's (Gadsden),Applebee's,4.2,17,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Meals",$$,"1722 Rainbow Drive, Gadsen, AL, 35901",35901,33.9804667,-86.0064619,AL,"'American', 'Bar Food', 'BBQ', 'burger', 'Chicken Strips', 'Comfort Food', 'Dinner', 'pasta', 'salad', 'Sandwich', 'Soup', 'Steak', 'Traditional American', 'wings', 'Family Meals'",
306,2,Red Lobster  (1725 Rainbow Drive),Red Lobster,4.8,11,"Seafood, American, Family Meals",$$,"1725 Rainbow Drive, Gadsden, AL, 35901",35901,33.980628,-86.007564,AL,"'Seafood', 'American', 'Family Meals'",
327,95,Papa Johns (736 Montgomery Hwy),Papa John’s,5.0,22,"Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food",$,"736 Montgomery Hwy, Vestavia Hills, AL, 35216",35216,33.4449,-86.7915,AL,"'Pizza', 'Wings', 'Sandwiches', 'Desserts', 'American', 'Traditional American', 'Fast Food'",
329,17,Chipotle Mexican Grill (1051 Amber Drive Suite 100),Chipotle Mexican Grill,4.7,34,"Healthy, Mexican",$,"1051 Amber Drive, Hoover, AL, 35244",35244,33.35505,-86.84906,AL,"'Healthy', 'Mexican'",https://1000marcas.net/wp-content/uploads/2021/05/Chipotle-logo-1.png
338,21,McAlister's Deli (152 Bowling Lane),McAlister’s Deli,4.8,40,"Sandwich, Salads, Healthy, Family Meals",$,"152 Bowling Lane, Pelham, AL, 35124",35124,33.3353402,-86.7925329,AL,"'Sandwich', 'Salads', 'Healthy', 'Family Meals'",
339,9,Firehouse Subs (100 S. Colonial Dr. #1200),Firehouse Subs,4.7,26,"Sandwich, Deli",$,"100 S. Colonial Dr. #1200, Alabaster, AL, 35007",35007,33.227097,-86.8047134,AL,"'Sandwich', 'Deli'",
418,79,Papa Johns (565 1St Street North),Papa John’s,4.7,21,"Pizza, American, Italian, Sandwiches",$,"565 1St Street North, Alabaster, AL, 35007",35007,33.24975,-86.8152811,AL,"'Pizza', 'American', 'Italian', 'Sandwiches'",
420,76,Jersey Mike's Subs (1114 1st Street),Jersey Mike's Subs,4.8,16,"Sandwich, American, Comfort Food",$,"1114 1st Street North, Alabaster, AL, 35007",35007,33.2573,-86.81309,AL,"'Sandwich', 'American', 'Comfort Food'",
426,64,Red Lobster (1030 Montgomery Hwy. South),Red Lobster,4.5,40,"Seafood, American, Family Meals",$$,"1030 Montgomery Hwy. South, Vestavia Hills, AL, 35216",35216,33.4385875,-86.7898412,AL,"'Seafood', 'American', 'Family Meals'",
433,54,Bojangles (4780 Eastern Valley Road),Bojangles,3.9,13,"Chicken Strips, Fast Food, Fried Chicken, American, Southern, Family Meals",$,"4780 Eastern Valley Road, McCalla, AL, 35022",35022,33.3291847,-87.0005515,AL,"'Chicken Strips', 'Fast Food', 'Fried Chicken', 'American', 'Southern', 'Family Meals'",
434,52,Wendy's  (2931 Morgan Rd),Wendy’s,3.9,11,"American, Burgers, Fast Food",$,"2931 Morgan Rd, Bessemer, AL, 35022",35022,33.3349086,-86.9167058,AL,"'American', 'Burgers', 'Fast Food'",https://1000marcas.net/wp-content/uploads/2020/10/Wendys-logo-tumb.jpg
